dirty things (sex)	trucs salaces
"it&#x27;s on me	je te paie la traite (canada
to take a look at	jeter un coup d&#x27;oeil
to take a look	jeter un oeil
board games	jeux de société
next question	joker
to juggle	jongler
to get someone angry	jouer avec les pieds de quelqu&#x27;un
to cum	jouir
public holiday	jour férié
youth	jouvence
Jewish	juif
twins	jumeaux
I said/did a weird thing	J’ai bugué
"I&#x27;m in love with you	J’ai craqué pour to
I’ve passed my exams very easily	J’ai réussi mes examens les doigts dans le nez
stop	khlass
the allocation	l&#x27;affectation
garlic	l&#x27;ail
the ease	l&#x27;aisance
the armpit	l&#x27;aisselle
the elder	l&#x27;aîné
the social progress	l&#x27;andamento
appetizer	l&#x27;apéritif = l&#x27;apéro
The appearance is deceptive	L&#x27;apparence est trompeuse
the bus stop	l&#x27;arrêt de bus
the rear	l&#x27;arrière
the rear	l&#x27;arrière
crafts	l&#x27;artisanat
the seasoning	l&#x27;assaisonnement
partner	l&#x27;associé
insurance	l&#x27;assurance
dawn	l&#x27;aube
warm water	l&#x27;eau tiède
the enclosure	l&#x27;enclos
hope	l&#x27;espoir
gasoline	l&#x27;essence
growth	l&#x27;essor
the growth	l&#x27;essor
the gap	l&#x27;écart
gap	l&#x27;écart
deadline	l&#x27;échéance
the touchscreen	l&#x27;écran tactile
the badge	l&#x27;écusson
praise	l&#x27;éloge
the sponge	l&#x27;éponge
the extent	l&#x27;étendue
the bishop	l&#x27;évêque
the intruder	l&#x27;intrus
goose	l&#x27;oie
The shadow	l&#x27;ombre
the speaker	l&#x27;orateur
pride	l&#x27;orgueil
swimming	la baignade
weed	la beu
bike	la bécane
beer	la binouze
mud	la boue
embers	la braise
toothbrush	la brosse à dents
mist	la brume
the shack	la cabane
hiding place	la cachette
drugs	la came
heat wave	la canicule
condom, car sunroof	la capote
the icing on the cake	la cerise sur le gâteau/la cerise sur le sundae (canada)
the hunt	la chasse
pussy	la chatte, foufoune, zezette/zizi
pumpkin	la citrouille
the bell	la cloche
the hill	la colline
gossip	la commère
bagpipes	la cornemuse
the crown	la couronne
the custom	la coutume
crime	la criminalité
growth	la croissance
cruelty	la cruauté
panties	la culotte/les gobettes (Canada)
the date is set	la date est fixée
rehab	la désintox
customs	la douane
duration / length	la durée/la longueur
lightning	la foudre
the crowd	la foule
slingshot	la fronde
the bowl	la gamelle
the trigger	la gâchette
the clerk	la greffière
the Mona Lisa	la Joconde
length and width	la longueur et la largeur
the trunk	la malle
the sleeve	la manche
the remote	la manette
the next step	la marche suivante
the bride	la mariée
Kindergarten	la maternelle
the people have spoken	la messe est dite
breadcrumbs	la mie de pain
the militia	la milice
the lead	la mine
change	la monnaie
the average	la moyenne
girlfriend	la nana, la copine, la gonzesse,  la loulotte
straw	la paille
paperwork	la paperasse/la paperasserie
fatherhood	la paternité
the homeland	la patrie
child support	la pension alimentaire
orgasm	la petite mort
pliers	la pince
Planning	la planification
most of the usual problems relate to	la plupart des problème usuels ayant trait à
the pan	la poêle
the powder	la poudre
doll	la poupée
the pursuit	la poursuite
The reason is	la raison en est
the rail	la rampe
pension	la rente
the start of the school year	la rentrée
the rescue	la rescousse
retirement	la retraite
ruler	la règle
success	la réussite
the left river bank	la rive gauche
the morning routine	la routine matinale
dirt	la saleté
the gym	la salle de gym
the bare minimum	la stricte nécessaire
the waist	la taille
the slice of bread	la tartine
storm	la tempête
the outfit	la tenue
the car	la tire
the piggy bank	la tirelire
alcohol/ to drink	la tise/tiser
trafficking/milking	la traite
the kit	la trousse
The valley	la vallée
lube	la vaseline
the sale	la vente
winemaking process	la vinification
wool	laine
secular	laïque
bacon	lardons
to bore	lasser
to weary	lasser
nom de famille	last name
forget about it	lâche l&#x27;affaire
to let go	lâcher
to let go/cut loose (have fun)	lâcher prise/lâcher son fou (canada)
the cattle	le bétail
the concrete	le béton
the thing, widget	le bidule
cap	le bonnet
the edge	le bord
the shield	le bouclier
the ball	le boule
the framework	le cadre
Tiling	Le carrelage
the field	le champ
construction site	le chantier
the big tent	le chapiteau
the sky is clear	le ciel est dégagé
treasure chest/safe/car trunk	le coffre
county	le comté
the competition	le concours
the lid	le couvercle
the cost	le coût
toothpaste	le dentifrice
ass	Le derrière, le postérieur, l’arrière-train, le fion, les fesses, le cul
jet lag	le décalage horaire
the deceased	le défunt
the feeling of being in a foreign land/to feel lost in a foreign land	le dépaysement/être dépaysé
lunch	le diner (canada)
the dormitory	le dortoir
the staff	le état-major
the farmer	le fermier
feast	le festin
le bordel (mess)	le foutoir
cum	le foutre
the shipping costs	le frais d&#x27;envois
money	le fric, le pognon, le blé, l&#x27;oseille, les sous, le flouze, la maille
the thrill	le frisson
funeral	le funérailles
lip gloss	le gloss
the attic	le grenier
the sink	le lavabo, la vasque
Laundry	le linge
the dispute	le litige
boyfriend	le loulou
the rent	le loyer
the shit/mess	le merdier
the social environment	le milieu social
the timer	le minuteur
the slightest doubt	le moindre doute
the bellybutton	le nombril
bandage	le pansement
the course	le parcours
godfather/godmother	le parrain/la marraine
end of term exam	le partiel
Heritage	le patrimoine
the bathroom	le petit coin
penis	Le pénis, la verge, la bite, la pine, le zob, le zizi, le quiqui, la queue
cheap wine	le pinard, le picrate, le pive
the lead	le plomb
the bed	le plumard/le pieu
fist	le poing
the pepper	le poivron
the principle	le principe
the process	le processus
the grid	le quadrillage
the shortcut	le raccourci
the story	le raconte
the relation	le rapport
Catch-up	Le rattrapage
receipt	le reçu
the shark	le requin
the tap is running	le robinet coule
the tap is leaking	le robinet fuit
a novel	le roman
sand	le sable
christmas tree	le sapin
the know-how	le savoir-faire
the path	le sentier
AIDS	le sida
The balance (payment)	le solde
the top	le sommet
dinner	le souper (canada)
apron	le tablier
the rate	le taux
the area that gives flavor to the product	le terroir
the nipple	le téton
the trip	le trajet
The belly	le ventre
a drink	le verre, le pot, le coup
dizziness	le vertige
dizzines	le vertige
old age	le vieillesse
the veil	le voile
criminal	le voyou, le truand, la caillera, la racaille, le malfrat
next day	lendemain
wings	les ailes
the matches	les allumettes
conflicts	les bagarres
chopsticks	les baguettes
the walks	les balades
the streamers	les banderoles
socks	les bas (canada)
property	les biens
the marbles	les billes
trinkets	les breloques
bubbles	les bulles
bumps	les cahots
canoes	les canots
the goose is cooked	les carottes sont cuites
slippers	les chaussons
the toilets	les chiottes
behind the scenes/backstage	les coulisses
groceries	les courses
customs	les coutumes
thighs	les cuisses
swans	les cygnes
school dropouts	les déscolarisés
piece of cake	les doigts dans le nez
sheets (bed)	les draps
issues	les enjeux
the surroundings	les environs
cash	les espèces
grocery stores	les épiceries
shooting Stars	les étoiles filantes
the cops	les flics, les keufs, les poulets, les schmitts, policier
funds	les fonds
the pebbles	les galets
the gums	les gencives
the bleachers	les gradins
the skyscrapers	les gratte-ciels
claws	les griffes
swear words	les gros mots
clothes	les habits
hips	les hanches
fees	les honoraires
mortgages	les hypothèque
the blades	les lames
the tears	les larmes
protests	Les manifestations/les manifs
the wonders	les merveilles
flies	les mouches
tits	les nichons
Boobs	Les nichons, les nibards, les miches, les nénés, les tétons
the nuts	les noix
short stories	les nouvelles
the orphans	les orphelins
toes	les orteils
grocery stores	les pakpak
headlights	les phares
coins	les pièces
the pots	les pots
bribes	les pots de vin
hens	les poules
relatives	les proches
the preys	les proies
over time	les prolongations
Leftovers	les restes
wrinkles	les rides
the circles	les ronds
alleys	les ruelles
the bastards	les salauds
cowboy boots	les santiags
hookups	les sexfriends
eyebrows	les sourcil
the blinds	les stores
trade unions	les syndicats
6 pack	les tablettes de chocolat
Tasks	les tâches
spider webs	les toiles d&#x27;araignée
widows	les veuves
the turns	les virages
Sunrise	lever du soleil
yeast	levure
light	léger
slight	léger
slightly	légèrement
legitimate	légitime
to pass down	léguer
to link	lier
ivy	lierre
related to	lié a
delivery	livraison
to deliver to	livrer à
to accommodate	loger
software	logiciel
distant	lointain
to eye	lorgner
to praise	louanger
to miss out	louper
lushious	luxuriant
my girlfriend	ma blonde (canada)
my life is ruined	ma vie est fichue
magic	magie
skinny	maigre
tomorrow	mainde
majestically	majestueusement
majority, minority	majoritaire, minoritaire
to go wrong	mal tourner
bad luck	malheur
smart	maligne
clever	malin
granny	mamie
fussy	maniaque
to orchestrate	manigancer
to bargain	marchander
cooking pot	marmite
to mumble	marmonner
leather goods	maroquinerie
to mask	masquer
to massage	masser
a draw	match nul
material	matière
morning	matin=mat(only with hours)
weeds	mauvaise herbes
to chew	mâcher
to threaten	menacer
thanks for listening to me	merci de m&#x27;avoir écouter
wonderful	merveilleux
my hobbies	mes loisirs
gentlemen	messieurs
ladies and gentlemen	messieurs-dames
lets end this	mettons fin à cela
to highlight	mettre en lumière
little known	méconnu
discontent	mécontent
media	médiatique
misdeeds	méfaits
to mix	mélanger
domestic work	ménager
to despise	mépriser
to despise	mépriser
job	métier
even in	même par
half time	mi-temps
microphone	micro
public urination	miction sur la voie publique
family	mifa (famille)
middle	milieu
environment	milieu
to advocate for	militer pour
thin/dammit	mince
to undermine	miner
minimal	minime
to count on (s.b/smth.), bet	miser sur
moderate	modéré
me neither	moi non plus
lesser	moindre
moldy	moisi
half	moitié
my boyfriend	mon chum (canada)
my ego took a hit	mon ego en a pris un coup
my setup	mon installation
my opponent	mon opposant
my cell phone	mon portable
my homie	mon poto
my relation to	mon rapport à
my nickname	mon surnom
my stomach	mon ventre
to get promoted	monter en grade
lips are sealed	motus et bouche cousue
soft	mou
meh	mouais
to get wet	Mouiller
wet	mouillé
fishing reel	moulinet de pêche
mustard	moutarde
average/way	moyen
average	moyenne
mute	muet
to multiply	multiplier
enclosure wall	mur d&#x27;enceinte
ripe	mûr
to mature	mûrir
tarantula	mygale
do not be afraid	n&#x27;ayez crainte
Nevertheless	N&#x27;empêche
any	n&#x27;importe quel/quelle
dwarf	nain
naive	naïf
etc.	nanani nanana
to no be an exception	ne pas échapper a la règle
"don&#x27;t worry	"ne t&#x27;en fais pas
clearly	nettement
Nevertheless (old word)	néanmoins
to require	nécessiter
harmful	néfaste
to neglect	négliger
silly	niais
to fuck	Niquer
hazelnut	noisette
number	nombre
numerous	nombreuse
to nominate	nommer
notorious	notoire
to tie	nouer
noodles	nouilles
to feed	nourrir
bad taste	nouveau riche
to harm	nuire
to harm	nuirer á
nowhere else	nulle part ailleurs
by no means	nullement
bow tie	nœud papillon
mandatory	obligatoire
to obsess	obséder
to cause	occasionner
mind your own business	occupe-toi de tes oignons
to bestow	octroyer
heinous	odieux
Oh nice one!	oh beau gosse!/ BG!
to omit	omettre
it looks like	on dirait que
"we&#x27;re up for it	on est partant
"we&#x27;re even	on est quitt
someone told me that	on m&#x27;a dit que
we turn up	on remonte
"we don&#x27;t care	"on s&#x27;en fiche
It feels like being	on se croirait
we enjoy cooking	on se fait plaisir à cuisiner
"we&#x27;re dipping	"on se tire d&#x27;ici/on sacre notre camp (canada)
we are going to visit some spots	on va visiter quelques points
creamy	onctueux
timely	opportun
gold	or
garbage	ordure
native	originaire
orphanage	orphelinat
"Yo, what&#x27;s going on	Ouesh, kafa
"Yes, but for the most part it&#x27;s still very revealing	"Oui , mais pour la plupart c&#x27;est quand même révélateur de beaucoup
besides	outre
outgoing	ouvert
handiwork	ouvrage
wherever you live	où que vous habitiez
to remove	ôter
regular bread	pain de mie
peaceful	paisible
palace	palais
thrilling	palpitant
Paris (Slang)	paname
trousers	pantalon
paper towel	papier sopalin
Furthermore	par ailleurs
On the other hand	par contre
by chance	par hasard
in terms of	par rapport à
in parallel to	parallèlement à
paranoid	parano
to browse/travel	parcourir
background	parcours
to ward	parer
to bet on	parier sur
to talk for nothing	parler pour ne rien dire
advocate	partisan
everywhere else	partout ailleurs
to reach	parvenir à
to achieve its goals	parvenir à ses fins
no wonder	pas étonnant
not just any toilet	pas n&#x27;importe quelles toilettes
Not so much	Pas tant que
horrible (slang)	pas terrible
to pass by really quickly	passer en coup de vent
to floss	passer la soie dentaire
to make a call	passer un coup de fil
to take an exam	passer un examun
exhilarating	passionnant
patrol boat	patrouilleur
poor	pauvre
dough	pâte
to suffer	pâtir
Parce que	Pck
to labour	peiner
to hang	pendre
to drill	percer
perched on	perché sur
to ram	percuter
to lose ones bearings	perdre ses repères
to persist	perdurer
personally	perso
to persuade	persuader
to disturb	perturber
pervert/kinky	pervers
firecracker/joint	petard, tarpé
no matter what	peu importe quoi
to populate	peupler
painful/burdensome	pénible
expired	périmé
journey	périple
to perish	périr
a joint	pétard
to fart	péter
"to loose one&#x27;s shit (crazy)	péter les plomb
to go crazy	péter les plombs
to mold	pétrir
to fish	pêcher
to photograph	photographier
to eat a bit	picorer
to trap	piéger
pedestrian	piéton
peppers	piments
to pinch	pincer
to sleep	pioncer/pieuter
to steal (slang)	piquer
to piss	pisser
to piss	pisser un coup
pity/mercy(in a pleading way)	pitié
pitiful	pitoyable
picturesque	pittoresque
the ceiling	le plafond
to plead	plaider
to please someone	plaire à quelqu&#x27;un
sequence shot	plan séquence
to glide	planer
to stash	planquer
to tackle	plaquer
to ditch something	plaquer quelque chose
tray	plateau
to fold/blend	plier
metal filling	plombage en métal
to dive	plonger
no harm done	plus de peur que de mal
more and more	plus en plus
the more formal the speech	plus un discours est formel
to stab	poignarder
hairy	poilu
end of story	point barre
peppers	poivrons
polishing	polissage
versatile	polyvalent
firefighter	pompier
deck	pont
to lodge a complaint	porter plainte
to yield results	porter ses fruits
to lay	poser
cowgirl	position d&#x27;Andromaque
to possess	posséder
to apply	postuler
vegetable garden	potager
"to divert someone&#x27;s attention	poudre de perlimpinpi
henhouse	poulailler
baby	poupée
for granted	pour acquis
for the time being	pour l&#x27;instant
for the millionth time	pour la millionième fois
in my opinion	pour ma part
so that I can	pour que je puisse
talks (noun)	pourparlers
to rot	pourrir
to pursue	poursuivre
to supply	pourvoir
to push	pousser
stroller	poussette
dusty	poussiéreux
First	premièrement
to take seriously	prendre au sérieux
to get shit faced	prendre une cuite
pull up a chair	prends une chaise/tire-toi une bûche (canada)
Take me from behind	Prends-moi par derrière
to prescribe	prescrire
prior	préalable
precarious	précaire
previous	précédent
to specify	préciser
early	précoce
preconceived	préconçue
to advocate	préconiser
to predict	prédire
to withdraw/remove	prélever
to claim/pretend	prétendre
alleged	prétendu
to prevail	prévaloir
prevent/warn	prévenir
predictable	prévisible
to pray	prier
principle	principe
to deprive of	priver de
private	privé
to privilege	privilégier
shortly	prochainement
to obtain	procurer
deep	profond
to walk the dog	promener le chien
promising	prometteur
to promote	promouvoir
to spread	propager
favorable to	propice à
property	propriété
to propel	propulser
to prove	prouver
to derive from	provenir de
provisionally/temporarily	provisoirement
to advocate	prôner
advertising	publicitaire
to publish	publier
childish	puéril
to draw (figuratively)	puiser
to punish	punir
"what&#x27;s the matter?	"qu&#x27;est-ce qu&#x27;il ya?
what are you doing? (vulgar)	qu&#x27;est-ce que tu fous
to lockdown	quadriller
when Pigs Fly	quand les poules auront des dents
when all of a sudden	quand tout à coup
as for	quant à
nearly	quasiment
its crap	que dalle
what flavor?	quel parfum
regardless of	quel que soit
what a relief	quel soulagement
what a numbskull	Quelle andouille
somewhere	quelque part
somewhat	quelque peu
regardless of	quelque soit
a few minutes	quelques minutes
stuck	québlo (bloqué)
anyone	quiconque
problem/misunderstanding	quiproquo
though	quoique
young style	racaille
junction	raccordement
to plug	raccorder
to hang up	raccrocher
to ramble	radoter
refreshing	rafraîchissant
steep/stiff	raide
to slow down	ralentir
to rally	rallier
to pick up	ramasser
electric train	rame électrique
to bring (a person)	ramener
to report/bring back	rapporter
to bring closer	rapprocher
to shave	raser
to gather	rassembler
reassuring	rassurant
to reassure	rassurer
to catch up with	rattraper
to ravage	ravager
ravishing	ravageur
lovely	ravissante
to revive	raviver
to scratch/scuff/cross out	rayer
stunning	rayonnant
to grumble	râler/ronchonner/grogner/bougonner
complainer	râleurs
to bounce	faire rebondir
to fail	recaler
recipe	recette
grateful	reconnaissant
to recruit	recruter
to rectify	rectifier
to collect	recueillir
to retreat	reculer
royalty fee	redevance
to repeat the course	redoubler
dreadful	redoutable
to dread	redouter
to straighten out	redresser
to reflect	refléter
chorus	refrain
to reject	rejeter
truck stop	relais routier
to recount	relater
to release	relâcher
to raise	relever
to relegate	reléguer
to link to	relier à
pack up your stuff	remballer tes affaires
to rewind	rembobiner
to refund	rembourser
get back to work	remets-toi au taf
to replace	remplacer
to stir	remuer
to make better	rendre meilleur
to me a favor	rends-moi service
reports	rendus
to contain	renfermer
introverted	renfermé,introverti
to replenish the funds	renflouer les caisses
to reinforce	renforcer
to reinforce	renforcer
to disown	renier
to sniff	renifler
to give up	renoncer à
to renew	renouveler
to renew	renouveler/reconduire
information	renseignement
to inform	renseigner
profitable	rentable
to overthrow, knock over, spill	renverser
to start from scratch	repartir à zero
to spot	repérer
to fold up	replier
relaxing	reposant
to rest	reposer
to repel/postpone	repousser
to resume	reprendre
to blame	reprocher
sharks	requins
to resolve	resoudre
to tighten	resserrer
remaining	restant
to restore	restaurer
return/refund/restore	restituer
to restrict	restreindre
to delay	retarder
to remove the message	retirer le message
withdrawn	retirées
feedback	retour
back to the roots	retour aux sources
back to square one	retour à la case départ
to meet up with friends	retrouver des amis
expensive	reuch (cher)
claim/demand	revendiquer
to take on	revêtir
settlement	règlement
to recap	récapituler
reciprocal	réciproque
to claim	réclamer
to harvest	récolter
to reward	récompenser
to scrub	récurer
to write up	rédiger
to refer	référer
to govern	régir
to regulate	réglementer
to pay	régler
to reign	régner
regular	régulier
to reiterate	réitérer
to allocate	répartir
to counter (verbally)	répliquer
to surpress	réprimer
to reside	résider
to solve	résoudre
to summarize	résumer
to restore	rétablir
alarm clock	réveil
to revise/review	réviser
to daydream	rêvasser
funny	rigolo
old fashion	ringard
to break up with	rompre avec
to nibble	ronger
commoner	roturière
rusty	rouillé
drum roll	roulement de tambour
to roll/drive	rouler
to french kiss	rouler un patin/rouler une pelle/galocher
road	routière
to ruin	ruiner
to refrain from	s&#x27;abstenir de
to mate	s&#x27;accoupler
to hang on	s&#x27;accrocher
to go at fiercely	s&#x27;acharner a
to complete	s&#x27;achever
to devote oneself to	s&#x27;adonner à
to get worked up	s&#x27;affoler
to team up with	s&#x27;allier à
realize	s&#x27;apercevoir
to get ready to	s&#x27;apprêter à
to approach	s&#x27;approcher
to linger	s&#x27;attarder
to expect	s&#x27;attendre à
empower yourself with thought	s&#x27;autonomiser par la pensée
to turn out to be	s&#x27;avérer
to warm up	s&#x27;echauffer
to collapse	s&#x27;effondrer
to strive to	s&#x27;efforcer de
to get away from	s&#x27;eloigner de
to get carried away	s&#x27;emballer
to get into physical contact	s&#x27;embrouiller
to seize	s&#x27;emparer
to prevent	s&#x27;empêcher
to eat like shit	s&#x27;empiffrer
to scurry	s&#x27;empresser
to go away	s&#x27;en aller
to not care	s&#x27;en branler
to take care of	s&#x27;en occuper
to fall asleep	s&#x27;endormir
to run away	s&#x27;enfuir
to get drunk	s&#x27;enivrer
to have fun/I had fun	s&#x27;enjailler/je me suis enjaillé
to pride oneself	s&#x27;enorgueillir
to jam	s&#x27;enrayer
to ensue	s&#x27;ensuivre
to help each other	s&#x27;entraider
to converse	s&#x27;entretenir
to fly away	s&#x27;envoler
to dry up	s&#x27;essuyer
to stretch	s&#x27;etirer
to have a blast	s&#x27;éclater
to flow	s&#x27;écouler
to exclaim/cry out	s&#x27;écrier
to collapse	s&#x27;écrouler
to go astray	s&#x27;égarer
to blossom	s&#x27;épanouir
to immerse yourself	s&#x27;imprégner de
to set in	s&#x27;incruster
to take care of	s&#x27;occuper de
biscuits	sablés
to sabotage	saboter
to sacrifice	sacrifier
to bleed	saigner
to seize	saisir
to input data	saisir des données
striking	saisissant
seasonal	saisonnier
do we ever know	sait-on jamais
wage	salarial
salty	salé
savory	salé
to greet	saluer
bloody	sanglant
without further ado	sans plus tarder
to annoy	saouler/souler
to fuck	Sauter
to catch the eye	sauter aux yeux
to back it up	sauvegarder
to savour	savourer
to seal	sceller
knowingly	sciemment
motorcycle	scooter
to swim	se baigner
to walk around	se balader
to get drunk	se bourrer la gueule
to jerk off	se branler
to leave	se casser, se tirer, se barrer
to argue	se chamailler
to bump your head	se cogner la tête
to drink alot	se coller/mettre une mine
to materialize	se concrétiser
to comply with	se conformer à
to wonder	se demander
to get rid of	se débarrasser de
to uncork	se déboucher
to chicken out	se dégonfler
dress up	se déguiser
to manage	se démerder
to become popular	se démocratiser
to surpass oneself	se dépasser
to shy away from	se dérober à
to take place	se dérouler
to dissociate	se désolidariser
to relax/chill	se détendre
to head towards	se diriger vers
to get entangled	se empetrer
to be bored	se faire chier
to make friends	se faire des amis
to throw around the ball	se faire des passes au ballon
to impersonate	se faire passer pour
to set yourself	se fixer
to trample	se fouler
"to stuff one&#x27;s face	se goinfre
to show off	se la péter
to get into	se lancer
to laugh	se marrer
to get drunk AF	se mettre un gros tarif
to be wary	se méfier
to be wary of	se méfier de
to be mistaken	se méprendre
to mingle with	se mêler aux
to mettle with	se mêler de
to make fun of	se moquer de
to drown	se noyer
to be passionate	se passionner
to lean forward	se pencher en avant
Allow yourself to	se permettre de
to leave	se péter
to prick yourself	se piquer
to complain	se plaindre
to be attracted	se plaire
to land	se poser
to rush	se précipiter
to walk around	se promener
to redeem oneself	se racheter
to remember	se rappeler
to recollect yourself	se recueillir
to engage in private prayer	se recueillir
to go to, on	se rendre à/sur
to realize	se rendre compte de
to get information on	se renseigner sur
to find your way	se repérer
to compose onself	se ressaisir
to revitalise yourself	se ressourcer
to feast	se régaler
to spread	se répandre
to rinse	se rincer
to bankrupt onself	se ruiner
to dress oneself	se saper
to utilise	se servir de
to be located	se situer
to overwork oneself	se surmener
to eat	se sustenter
to stand	se tenir
to keep	se tenir
stand	se tenir
to balance	se tenir en équilibre
to lug around	se trimballer
to be mistaken	se tromper de
to brag	se vanter
to brag	se venter
to dress yourself	se vêtir
to dry	secher
to shake	secouer
jesus christ!	seigneur, bon sang
similar	semblable
to sow	semer
serene	serein
to tighten/shake/hug	serrer
lock	serrure
sessions	séances
to seduce	séduire
to crack down	sévir
if you feel like it	si ça te tente
provided that	si tant est que
to flabbergast	sidérer
sit (metaphorically)	siéger
to whistle	siffler
whiskey	sky
supposedly	soi-disant
to tend to	soigner
carefully	soigneusement
to request/to apply for/to ask for	solliciter
dark	sombre
to sink into the abyss	sombrer dans l&#x27;abîme
summary	sommaire
sleeping pill	somnifère
to probe	sonder
to bear in mind	songer
to think about	songer à
house	sonmai
to sound/ring	sonner
sound	sonore
concerned	soucieux
to weld	souder
to bribe	soudoyer
to blow	souffler
to blow	souffler
desirable	souhaitable
to relieve	soulager
to raise	soulever
shoes	souliers
to submit a request	soumettre une demande
to suspect	soupçonner
suspicious	soupçonneux
flexible	souple
smile	sourire
in the form of	sous forme de
underwear	sous-vêtements/caleçon/culotte/les slips
to subscribe	souscrire
to subtract	soustraire
to subtract	soustraire
underground	souterrain
splendid	splendide
spontaneous	spontané
parking	stationnement
undergo/suffer	subir
to experience failure	subir un échec
sudden	subit
to remain	subsister
pacifier	sucette
sweet	sucré
sweat	sueur
to suffice	suffire
to suggest	suggérer
following the	suite au
following	suite à
to beg	supplier
on the background	sur fond
on site	sur place
he is gifted	il est surdoué
to arise	surgir
to overplay (acting)	surjouer
to overcome	surmonter
nickname	surnom
to overhang	surplomber
to surprise	surprendre
to jump	sursauter
to monitor	surveiller
to occur	survenir
survivor	survivant
to stimulate	susciter
to suspend	suspendre
To get laid	S’envoyer en l’air
have you sobered up a bit?	t&#x27;as dessoulé un peu?
"you don&#x27;t look like you get it	"T&#x27;as pas l&#x27;air d&#x27;avoir pigé
got a phone number?	t&#x27;as pas un 06?
"you&#x27;re handsome but you don&#x27;t look well	"t&#x27;as une belle gueule mais t&#x27;as une sale tête
You have a memory of a goldfish	T&#x27;as une mémoire de poisson rouge
"you&#x27;re lookin fresh	"t&#x27;es archi frais/fraîche
"you&#x27;re fucking crazy	"t&#x27;es dingue/t&#x27;es malade
smoking	tabagisme
to beat up	tabasser
stool	tabouret
heap (junk)	tacot
pencil sharpener	taille-crayon
to trim/carve	tailler
to give a blowjob	Tailler une pipe, faire une turlutte
to hush up	taire
Shut up	tais toi
Shut up	tais-toi
high heels	talons hauts
while	tandis que
So much better	Tant mieux
as long as	tant que
sometimes	tantôt
to type/beat	taper
type/hit	taper
carpet	tapis
to tease	taquiner
to delay	tarder
overdue	tardif
to spread	tartiner
to pack it in	tasser
jail	taule
to strive	tâcher
to ruin your day	te gâcher la journée
bottle	teillbou
to tint	teinter
such and such	tel ou tel
such as	tel que
to stretch	tendre
to tender	tendre
to keep you posted/to be in the know	tenir au courant/etre au courant
tempting	tentant
amazing (slang)	terrible
to text	textoter
chair lift	télésiège
look!	téma! (mater)
reckless	téméraire
to testify	témoigner
darkness	ténèbres
stubborn	têtu
"l&#x27;étude de la matière	the study of matte
theoretical	théorique
tuna	thon
small	tipeu
to kick/to steal (slang)	tirer
flush the toilet	tirer la chasse
to weave	tisser
title holder	titulaire
you know what i mean	toi-même tu sais
to eye scornfully	toiser
to get hooked	tomber accroc
to settle (on something)	tomber d&#x27;accord
to break down	tomber en panne
your will	ton gré
your opinion	ton regard
to mow the lawn	tondre la pelouse
napkin, rag	torchon
to twist	tordre
twisted	tordu
doctor	toubib
beat around the bush	tourner autour du pot
to beat around the bush	tourner autour du pot
to roll	tournicoter
suddenly	tout à coup
first of all	tout d&#x27;abord
after all	tout de même
right now	tout de suite
aloud	tout haut
the relevance of	tout l&#x27;intérêt de
all kinds	toutes sortes
to betray	trahir
to milk	traire
to treat	traiter
to hang around/drag	traîner
to sever, settle	trancher
to forward	transmettre
to be paid under the table	travailler au noir/etre payé au black
to cross	traverser
to dip	tremper
braids	tresses
4-leaf clover	trèfle à 4 feuilles
hectic	trépidant
to cheat	tricher
to slave away	trimer
to toast	trinquer
to triumph	triompher
three blocks from here	trois pâtés dici
to deceive	tromper
to saw	tronçonner
scooter	trottinette
to disrupt	troubler
to sit in state	trôner
whats his name	trucmuche
you got guts	tu as du cran
you crossed the line	tu as franchi la limite
"you&#x27;d better	tu as intérêt 
"you&#x27;re wrong	tu as tor
"you&#x27;re killing it	tu dead ç
"you&#x27;re sick (twisted)	tu es malsai
are you non french origin?	tu es typé?
you are ugly	tu es un thon
you scared me	tu m&#x27;as fait flipper
you owe me	tu m&#x27;es redevable
are you making fun of me?	tu m&#x27;niaises tu? (canada)
you rat on me	tu me balances
can you show me around paris?	tu me fais visiter paris?
"You&#x27;re driving me crazy (f/m)	Tu me rends folle/fo
"you&#x27;re not a genius in bed	"Tu n&#x27;es pas un génie au pieu.
you get it?	tu piges?
"you&#x27;re doing great	"tu t&#x27;en sors bien
You got head over heels	Tu t&#x27;es emballé
You are digressing	Tu t&#x27;éloigne
you figure it out (really vulgar)	tu te démerdes
are you kidding me?	tu te fou de ma gueule?
tile	tuile
future	turfu(futur)
pipe	tuyau
typical	typique
You look cute	T’as l’air mims
a priest	un abbé
an approach	un abord
an outcome	un aboutissement
a shelter	un abri
a moron	un abruti
a strong accent	un accent à couper au couteau
an accessory	un accessoire
a growth	un accroissement
a purchase	un achat
a routing	un acheminement
a deputy/assistance	un adjoint
a weakening	un affaiblissement
a confrontation	un affrontement
an eagle	un aigle
a lightening	un allégement
an ally	un allié
a layout	un aménagement
one year earlier	un an auparavant
an angel	un ange
a contribution	un apport
a supply	un approvisionnement
an asylum	un asile
murder	un assassinat
an assault	un assaut
an asset	un atout
an asset	un atout
an attack	un attentat
an indigenous	un autochtone
downstream	un aval
a warning	un avertissement
a confession	un aveu
a thing, project, plan, idea, lease	un bail
a broom	un balai
ball	un ballon/boule
a strip club	un bar de danseuses
a blocade	un barrage
a dam	un barrage
a basin/bowl	un bassin
an attractive person	un beau gosse/ une belle gosse
a profit	un bénéfice
un beau gosse/une belle gosse	un BG/une BG
bias	un biais
